Polo;Faixa_Distancia;K_Sugerido;Qtd_Amostras
ARARUAMA;138500-139000 m;;0
ARARUAMA;139000-139500 m;;0
ARARUAMA;139500-140000 m;;0
ARARUAMA;140000-140500 m;;0
ARARUAMA;140500-141000 m;;0
ARARUAMA;141000-141500 m;;0
ARARUAMA;141500-142000 m;;0
ARARUAMA;142000-142500 m;;0
ARARUAMA;142500-143000 m;;0
ARARUAMA;143000-143500 m;;0
ARARUAMA;143500-144000 m;;0
ARARUAMA;144000-144500 m;;0
ARARUAMA;144500-145000 m;;0
ARARUAMA;145000-145500 m;;0
ARARUAMA;145500-146000 m;;0
ARARUAMA;146000-146500 m;;0
ARARUAMA;146500-147000 m;;0
ARARUAMA;147000-147500 m;;0
ARARUAMA;147500-148000 m;;0
ARARUAMA;148000-148500 m;;0
ARARUAMA;148500-149000 m;;0
