Polo;Data;Distancia_Reta_m;Distancia_Real_m
SÃO GONÇALO;2025-07-23;553.2531983652982;955
SÃO GONÇALO;2025-07-23;540.1034605723114;636
SÃO GONÇALO;2025-07-23;207.8780180424383;243
SÃO GONÇALO;2025-07-23;76.14313775566674;198
SÃO GONÇALO;2025-07-23;154.94309565823164;243
SÃO GONÇALO;2025-07-23;119.74491863925566;1039
SÃO GONÇALO;2025-07-23;81.72264995670034;1812
SÃO GONÇALO;2025-07-23;108.89803983582158;275
SÃO GONÇALO;2025-07-23;79.37881178577193;319
SÃO GONÇALO;2025-07-23;107.80558294416956;112
SÃO GONÇALO;2025-07-23;164.0332687042033;452
SÃO GONÇALO;2025-07-23;215.51543430472896;216
SÃO GONÇALO;2025-07-23;160.8161233712244;679
SÃO GONÇALO;2025-07-23;38.42040242469162;2
SÃO GONÇALO;2025-07-23;9.017867775709558;1420
SÃO GONÇALO;2025-07-23;689.4883376695233;690
SÃO GONÇALO;2025-07-23;428.006995134394;1320
SÃO GONÇALO;2025-07-23;83.61598327642392;2
SÃO GONÇALO;2025-07-23;76.31420186029078;4
SÃO GONÇALO;2025-07-23;80.07572041521486;83
SÃO GONÇALO;2025-07-23;63.67811034133338;82
SÃO GONÇALO;2025-07-23;71.49813239005209;306
SÃO GONÇALO;2025-07-23;345.7460816779348;62
SÃO GONÇALO;2025-07-23;22.19098267226877;221
SÃO GONÇALO;2025-07-23;13.94649868066819;881
SÃO GONÇALO;2025-07-23;140.56936947636814;71
SÃO GONÇALO;2025-07-23;111.03546577578707;88
SÃO GONÇALO;2025-07-23;76.57598796410274;81
SÃO GONÇALO;2025-07-23;127.9529194048778;210
SÃO GONÇALO;2025-07-23;74.33736717134612;84
SÃO GONÇALO;2025-07-23;699.47181779896;544
SÃO GONÇALO;2025-07-23;0.0369318465622144;0
SÃO GONÇALO;2025-07-23;286.088358791306;1715
SÃO GONÇALO;2025-07-23;85.58632662457673;1393
SÃO GONÇALO;2025-07-23;45.64540897550226;438
SÃO GONÇALO;2025-07-23;310.2897228297456;1022
SÃO GONÇALO;2025-07-23;324.74679283296393;525
SÃO GONÇALO;2025-07-23;503.9102947224085;291
SÃO GONÇALO;2025-07-23;446.2931001806845;547
SÃO GONÇALO;2025-07-23;209.3045640068178;206
SÃO GONÇALO;2025-07-23;273.2969824177952;234
SÃO GONÇALO;2025-07-23;204.7057900873897;335
SÃO GONÇALO;2025-07-23;628.1657495869845;861
SÃO GONÇALO;2025-07-23;249.18748770111296;434
SÃO GONÇALO;2025-07-23;222.196311988748;599
SÃO GONÇALO;2025-07-23;159.99563465236517;320
ANGRA;2025-07-23;3133.2856675165817;5809
ANGRA;2025-07-23;96.78405727404588;82
ANGRA;2025-07-23;42.43093987844597;44
ANGRA;2025-07-23;32.71827635528655;9
ANGRA;2025-07-23;49.553070146007386;86
ANGRA;2025-07-23;85.32467374682379;2
ANGRA;2025-07-23;36.99618497248972;186
ANGRA;2025-07-23;52.67352736977337;66
ANGRA;2025-07-23;69.07214147690489;157
ANGRA;2025-07-23;90.42653373713875;184
ANGRA;2025-07-23;36.77296422413356;322
ANGRA;2025-07-23;10.598418222353612;13
ANGRA;2025-07-23;85.6598070950685;32
ANGRA;2025-07-23;5.569848316323787;50
ANGRA;2025-07-23;3166.4058894608584;6046
ANGRA;2025-07-23;3125.978163137632;5627
ANGRA;2025-07-23;3.1009278305631054;257
ANGRA;2025-07-23;225.24076291505293;3
ANGRA;2025-07-23;77.99378877120205;279
ANGRA;2025-07-23;106.23116298266804;47
ANGRA;2025-07-23;48.877713633775926;11
ANGRA;2025-07-23;25.1120665759946;417
ANGRA;2025-07-23;59.05069674071292;256
ANGRA;2025-07-23;28.77648314565564;26
ANGRA;2025-07-23;49.56964956010805;479
ANGRA;2025-07-23;127.62989415888346;29
ANGRA;2025-07-23;59.38229327913807;126
ANGRA;2025-07-23;11.864051859137035;123
ANGRA;2025-07-23;49.41303499634925;529
ANGRA;2025-07-23;3279.605452754078;5337
ANGRA;2025-07-23;3104.657344095909;4768
ANGRA;2025-07-23;64.63708877687547;135
ANGRA;2025-07-23;201.7745211576113;254
ANGRA;2025-07-23;108.67803683069836;29
ANGRA;2025-07-23;131.3518959195794;439
ANGRA;2025-07-23;28.734266934822227;2
ANGRA;2025-07-23;244.59615268695248;0
ANGRA;2025-07-23;9.048328562051658;1
ANGRA;2025-07-23;83.17535312904178;1
ANGRA;2025-07-23;3.170942384574168;0
ANGRA;2025-07-23;0.4198294864276778;282
ANGRA;2025-07-23;1.853621987197268;3
ANGRA;2025-07-23;0.2840777449001002;829
ANGRA;2025-07-23;1.0520395773216165;177
ANGRA;2025-07-23;3504.928838428425;4636
ANGRA;2025-07-23;3192.809267256986;6202
ANGRA;2025-07-23;22.276791809917896;23
ANGRA;2025-07-23;76.66334838923386;40
ANGRA;2025-07-23;10.197554307069163;56
ANGRA;2025-07-23;6.203978077307392;32
ANGRA;2025-07-23;31.053269093775945;194
ANGRA;2025-07-23;4.396468223597856;13
ANGRA;2025-07-23;35.902454811179936;56
ANGRA;2025-07-23;38.039928143095885;2
ANGRA;2025-07-23;123.18865700907482;109
ANGRA;2025-07-23;15.58739201209272;38
ANGRA;2025-07-23;90.89817385814862;36
ANGRA;2025-07-23;37.14001648413662;5
ANGRA;2025-07-23;57.6166906305021;54
ANGRA;2025-07-23;3080.582004711708;6219
ANGRA;2025-07-23;3039.064180364496;5564
ANGRA;2025-07-23;102.22283084384792;247
ANGRA;2025-07-23;9.44879569778653;1
ANGRA;2025-07-23;16.91059042493165;7
ANGRA;2025-07-23;142.8213329280267;61
ANGRA;2025-07-23;17.094890560868897;0
ANGRA;2025-07-23;28.72754170744758;64
ANGRA;2025-07-23;38.14328071862133;2
ANGRA;2025-07-23;19.75496580355119;20
ANGRA;2025-07-23;51.608648158225165;103
ANGRA;2025-07-23;5.022639166310416;19
ANGRA;2025-07-23;23.61534809888161;38
ANGRA;2025-07-23;23.086068213307268;29
ANGRA;2025-07-23;1.8122177267675816;26
ANGRA;2025-07-23;3065.4192421054054;5199
ANGRA;2025-07-23;3038.1451847763933;3168
ANGRA;2025-07-23;9.518130846177714;4
ANGRA;2025-07-23;561.7899145719566;1338
ANGRA;2025-07-23;272.2615958502279;387
ANGRA;2025-07-23;250.5327803136453;524
ANGRA;2025-07-23;156.12740680781403;301
ANGRA;2025-07-23;59.91313282341647;74
ANGRA;2025-07-23;74.83259369848771;152
ANGRA;2025-07-23;160.66936765305246;300
ANGRA;2025-07-23;180.2267227929595;2
ANGRA;2025-07-23;5.070252236507974;31
ANGRA;2025-07-23;35.74230832967467;81
ANGRA;2025-07-23;15.738312479485884;5
ANGRA;2025-07-23;31.10346869819809;378
ANGRA;2025-07-23;3453.3072990615096;5275
ANGRA;2025-07-23;2992.824715504406;5532
ANGRA;2025-07-23;21.848218575975487;1
ANGRA;2025-07-23;116.36866120614442;198
ANGRA;2025-07-23;28.21841070826745;128
ANGRA;2025-07-23;33.50152143154219;28
ANGRA;2025-07-23;27.25141668872084;83
ANGRA;2025-07-23;61.888406832560136;27
ANGRA;2025-07-23;11.845754037802974;71
ANGRA;2025-07-23;14.916908681779478;14
ANGRA;2025-07-23;49.298814935337255;58
ANGRA;2025-07-23;0.0;0
ANGRA;2025-07-23;41.01257989631351;68
ANGRA;2025-07-23;58.35599793045253;767
ANGRA;2025-07-23;1.881714681597462;22
ANGRA;2025-07-23;3203.309758232771;4314
ANGRA;2025-07-23;2934.313617072465;5714
ANGRA;2025-07-23;27.021334603357225;32
ANGRA;2025-07-23;13.84738562167794;46
ANGRA;2025-07-23;56.36011320793869;455
ANGRA;2025-07-23;164.6030937727816;42
ANGRA;2025-07-23;366.8615951635408;669
ANGRA;2025-07-23;208.11837457555632;0
ANGRA;2025-07-23;0.0;134
ANGRA;2025-07-23;15.744834879528826;215
ANGRA;2025-07-23;49.01223138084651;393
ANGRA;2025-07-23;35.536619205612055;157
ANGRA;2025-07-23;37.79618882824772;127
ANGRA;2025-07-23;108.07853892213616;11
ANGRA;2025-07-23;110.0030943146846;40
ANGRA;2025-07-23;3223.850152813616;5715
ANGRA;2025-07-23;2900.955762440304;5230
ANGRA;2025-07-23;80.68949163592356;0
ANGRA;2025-07-23;97.68569398418263;40
ANGRA;2025-07-23;0.0;0
ANGRA;2025-07-23;11.458997130563109;9
ANGRA;2025-07-23;26.85496108981301;189
ANGRA;2025-07-23;0.6468278825873859;5
ANGRA;2025-07-23;107.6924476739548;12
ANGRA;2025-07-23;5.333552527223949;14
ANGRA;2025-07-23;40.45188948334476;309
ANGRA;2025-07-23;14.79920519713222;19
ANGRA;2025-07-23;132.02605959121732;49
ANGRA;2025-07-23;19.75561153102028;599
ANGRA;2025-07-23;48.75260206676736;33
ANGRA;2025-07-23;2953.335897473218;5270
ANGRA;2025-07-23;2879.172881264083;5023
ANGRA;2025-07-23;48.13615176613866;222
ANGRA;2025-07-23;204.40238593108447;13
ANGRA;2025-07-23;43.30222757605022;258
ANGRA;2025-07-23;21.35886366626848;226
ANGRA;2025-07-23;102.0945742531997;48
ANGRA;2025-07-23;87.75461319783516;449
ANGRA;2025-07-23;98.06850191852918;16
ANGRA;2025-07-23;39.5937208805626;42
ANGRA;2025-07-23;15.606410451687728;140
ANGRA;2025-07-23;13.543080183184236;133
ANGRA;2025-07-23;12.894163965381818;474
ANGRA;2025-07-23;55.81386985181679;232
ANGRA;2025-07-23;129.62978865140644;60
ANGRA;2025-07-23;2961.64865663721;4619
ANGRA;2025-07-23;2732.0491498591155;3425
ANGRA;2025-07-23;2029.485070933372;1520
ANGRA;2025-07-23;105.0463850886636;0
ANGRA;2025-07-23;155.62473437551463;0
ANGRA;2025-07-23;180.212386029168;0
ANGRA;2025-07-23;247.075747258613;442
ANGRA;2025-07-23;419.8409256750445;4806
ANGRA;2025-07-23;102.77393181587207;0
ANGRA;2025-07-23;41.15260568043608;21
ANGRA;2025-07-23;57.05751728778088;37
ANGRA;2025-07-23;700.6310128239178;0
ANGRA;2025-07-23;1.1768755920980487;0
ANGRA;2025-07-23;826.3280199005404;0
ANGRA;2025-07-23;2542.7089907999684;3601
ANGRA;2025-07-23;2755.445646769406;3537
ANGRA;2025-07-23;2574.0060298818494;4323
ANGRA;2025-07-23;57.14374251983037;141
ANGRA;2025-07-23;66.02430688435246;126
ANGRA;2025-07-23;27.26855642668846;27
ANGRA;2025-07-23;67.10678095499273;66
ANGRA;2025-07-23;14.216304460859988;12
ANGRA;2025-07-23;121.7826498654032;122
ANGRA;2025-07-23;40.85903293239208;40
ANGRA;2025-07-23;85.19793887431045;85
ANGRA;2025-07-23;43.141714305473165;67
ANGRA;2025-07-23;117.91651807845837;731
ANGRA;2025-07-23;1.2579885597539726;108
ANGRA;2025-07-23;37.67551443256253;1
ANGRA;2025-07-23;87.48281624321037;36
ANGRA;2025-07-23;3121.2849710727746;4538
ANGRA;2025-07-23;2535.114389343226;2757
ANGRA;2025-07-23;100.12020664132012;110
ANGRA;2025-07-23;152.23771253197225;431
ANGRA;2025-07-23;143.15314441596234;400
ANGRA;2025-07-23;226.9540165534737;316
ANGRA;2025-07-23;296.55433472640107;1791
ANGRA;2025-07-23;111.1723808999375;10
ANGRA;2025-07-23;372.600542280684;208
ANGRA;2025-07-23;52.35518446055574;215
ANGRA;2025-07-23;3.00046812319841;159
ANGRA;2025-07-23;145.47101506534483;2
ANGRA;2025-07-23;156.01507169294567;46
ANGRA;2025-07-23;156.3350159892555;747
ANGRA;2025-07-23;10.283693072992795;165
ANGRA;2025-07-23;3521.2677852921984;4157
ANGRA;2025-07-23;2281.8291138908;4459
ANGRA;2025-07-23;75.82767438328453;665
ANGRA;2025-07-23;1911.7863204617163;731
ANGRA;2025-07-23;529.0872197410127;1738
ANGRA;2025-07-23;482.0127846561503;615
ANGRA;2025-07-23;319.5801459739324;1292
ANGRA;2025-07-23;112.67106324520223;535
ANGRA;2025-07-23;275.9701074969611;326
ANGRA;2025-07-23;194.1919844667229;683
ANGRA;2025-07-23;498.5389851218344;314
ANGRA;2025-07-23;195.5291835252713;1420
ANGRA;2025-07-23;603.0346181835725;849
ANGRA;2025-07-23;187.3560279892742;3247
ANGRA;2025-07-23;364.6442866426892;0
ANGRA;2025-07-23;3194.105247698676;3931
ANGRA;2025-07-23;2118.4651019361136;4531
ANGRA;2025-07-23;58.74142861852749;39
ANGRA;2025-07-23;59.84104496549994;93
ANGRA;2025-07-23;141.93445955896874;176
ANGRA;2025-07-23;130.20108005307233;23
ANGRA;2025-07-23;62.31445913177737;582
ANGRA;2025-07-23;146.19731899764938;347
ANGRA;2025-07-23;497.1873039714045;882
ANGRA;2025-07-23;314.5600023629832;286
ANGRA;2025-07-23;145.08639496297138;93
ANGRA;2025-07-23;23.76155318771608;153
ANGRA;2025-07-23;86.15638694823205;202
ANGRA;2025-07-23;76.92183782354675;60
ANGRA;2025-07-23;247.368524805302;86
ANGRA;2025-07-23;2484.871323637712;6098
ANGRA;2025-07-23;1804.241123394454;3970
ANGRA;2025-07-23;18.35038607145986;139
ANGRA;2025-07-23;554.7669629328273;18
ANGRA;2025-07-23;21.67600010866612;460
ANGRA;2025-07-23;10.747891514863054;50
ANGRA;2025-07-23;691.6265384266992;244
ANGRA;2025-07-23;89.53619226044785;25
ANGRA;2025-07-23;38.94601511793133;40
ANGRA;2025-07-23;211.32907063985527;1619
ANGRA;2025-07-23;75.60060598953581;193
ANGRA;2025-07-23;38.45710609105017;6
ANGRA;2025-07-23;51.75303186680748;22
ANGRA;2025-07-23;30.87377969030976;839
ANGRA;2025-07-23;610.5715134052276;7
ANGRA;2025-07-23;2128.4239329154634;2278
ANGRA;2025-07-23;1772.092284143147;5744
ANGRA;2025-07-23;119.36019647731216;285
ANGRA;2025-07-23;3.355783258281243;485
ANGRA;2025-07-23;79.47324157846732;79
ANGRA;2025-07-23;198.0486702350206;3
ANGRA;2025-07-23;50.66895140609782;154
ANGRA;2025-07-23;10.041506095904037;520
ANGRA;2025-07-23;14.95105054913384;98
ANGRA;2025-07-23;96.60598035684372;10
ANGRA;2025-07-23;72.23355722207536;15
ANGRA;2025-07-23;84.44773343089835;188
ANGRA;2025-07-23;169.26787754184403;128
