ID_Servico;Polo;Latitude;Longitude;Valor_Divida;Tipo_Servico;Municipio;Tipo_Equipe_Requerida;Mix_Solic;Equipe;Serviço;Mix_solic;Tempo_Execucao_Min
34293778.0;NITERÓI;-22.9172;-42.8194;797.5;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34303261.0;NITERÓI;-22.9092;-42.9814;3919.48;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34143957.0;NITERÓI;-22.9686;-42.9881;96.42;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34253274.0;NITERÓI;-22.8931;-42.9225;688.08;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34254370.0;NITERÓI;-22.9031;-42.9228;3417.54;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34069061.0;NITERÓI;-22.8989;-43.1111;2489.36;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34274196.0;NITERÓI;-22.8736;-43.1069;1590.9;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
29367752.0;NITERÓI;-22.9233;-42.8192;749.57;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34252819.0;NITERÓI;-22.9578;-42.9806;541.74;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34168474.0;NITERÓI;-22.9389;-42.9236;1613.35;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34208159.0;NITERÓI;-22.9186;-42.8456;680.41;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34158364.0;NITERÓI;-22.8617;-42.7814;1615.47;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34051998.0;NITERÓI;-22.93;-43.1194;1451.78;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34069104.0;NITERÓI;-22.8822;-43.1114;1783.68;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34303593.0;NITERÓI;-22.8742;-43.1069;2463.5;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34099191.0;NITERÓI;-22.8797;-43.1056;525.46;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
29310672.0;NITERÓI;-22.9308;-42.8711;667.22;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34123081.0;NITERÓI;-22.8892;-43.1158;152.47;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34242136.0;NITERÓI;-22.9517;-42.9872;137.64;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34293537.0;NITERÓI;-22.9083;-42.8047;809.22;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
27310745.0;NITERÓI;-22.8736;-43.1069;155.9;CORTE;NITEROI;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34296242.0;NITERÓI;-22.9403;-42.8289;518.6;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34302886.0;NITERÓI;-22.9589;-43.0303;1361.32;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34253288.0;NITERÓI;-22.9031;-42.9228;813.92;RECORTE;MARICA;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34255395.0;NITERÓI;-22.9039;-42.9233;1389.03;RECORTE;MARICA;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34303198.0;NITERÓI;-22.8894;-43.1189;1394.87;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
34308502.0;NITERÓI;-22.9478;-42.9603;625.2;CORTE;MARICA;LEVE;MEDIDOR;LEVE;CORTE;MEDIDOR;12.0
34302594.0;NITERÓI;-22.9028;-43.1231;548.57;RECORTE;NITEROI;LEVE;MEDIDOR;LEVE;RECORTE;MEDIDOR;12.0
34053904.0;NITERÓI;-22.9272;-43.12;445.57;RECORTE;NITEROI;LEVE;POSTE;LEVE;RECORTE;POSTE;28.0
